Model,K,Precision@K,Recall@K,nDCG@K,N_Users
Baseline (User+Book,1,0.7212765360778485,0.34785257578731876,0.7985157496923517,35659
Baseline (User+Book,2,0.6930648644101068,0.6501977060489638,0.8570619393678036,35659
Baseline (User+Book,3,0.6607775503145535,0.9120738569972985,0.9331669642509023,35659
CatBoost (лучшая одиночная,1,0.8868167923946269,0.47855824149116166,0.9586757461841252,35659
CatBoost (лучшая одиночная,2,0.7830842143638352,0.7635281415631398,0.9703617651005619,35659
CatBoost (лучшая одиночная,3,0.6610112454078915,0.9123823345205044,0.9864707749209292,35659
Optimized Ensemble,1,0.8802265907625003,0.47299162436785475,0.9516877933492659,35659
Optimized Ensemble,2,0.7801817213045795,0.7601909756302757,0.9660948015504286,35659
Optimized Ensemble,3,0.6609925498004243,0.9123402694037036,0.9843102398821145,35659
